,standard regression coefficient
MolWt,-0.033977193998313386
HeavyAtomMolWt,-0.0356748654087732
ExactMolWt,-0.0340130008317107
NumValenceElectrons,-0.02776936329402446
MaxPartialCharge,-0.013986049551047439
MinPartialCharge,-0.08261998726188419
MaxAbsPartialCharge,0.08953616728880774
MinAbsPartialCharge,-0.05300375885527829
MaxEStateIndex,0.04850826487457545
MinEStateIndex,-0.021109773903509235
MaxAbsEStateIndex,0.04850826487457545
MinAbsEStateIndex,0.007658487475825142
BalabanJ,-0.01498356639289466
BertzCT,-0.03850390841942023
Chi0,-0.03403340866332147
Chi0n,-0.02924108447960948
Chi0v,-0.035924821655047526
Chi1,-0.03271398869033779
Chi1n,-0.027537969563423335
Chi1v,-0.026289392798103838
Chi2n,-0.010714033513522772
Chi2v,0.0038246870503389693
Chi3n,-0.0004435401374531219
Chi3v,-0.009752333876140086
Chi4n,0.005959125490562281
Chi4v,-0.002172541317150777
HallKierAlpha,0.04419644464695279
Kappa1,-0.034460786956741776
Kappa2,-0.06665496656079528
LabuteASA,-0.03564422942765686
PEOE_VSA1,0.03629071416342521
PEOE_VSA10,0.011243836120545055
PEOE_VSA14,-0.054897700892512266
PEOE_VSA2,0.03706040165765678
PEOE_VSA3,0.015278396757383485
PEOE_VSA6,-0.07663897921632991
PEOE_VSA7,0.0038050333039157244
PEOE_VSA8,0.055668164881324665
PEOE_VSA9,0.022362203314933285
SMR_VSA1,0.02609379860672958
SMR_VSA10,-0.07459885850036188
SMR_VSA3,0.029803630918433358
SMR_VSA4,0.0007239462556765837
SMR_VSA5,-0.02441981030779514
SMR_VSA6,0.07423450132905758
SMR_VSA7,-0.010265779956327756
SMR_VSA9,-0.07420726019236457
SlogP_VSA1,0.0014263561467672912
SlogP_VSA10,-0.058461095855779674
SlogP_VSA12,-0.035794787602961516
SlogP_VSA2,0.10613522525046096
SlogP_VSA3,0.07485888837733522
SlogP_VSA4,-0.0433487225426226
SlogP_VSA5,-0.07876010014344592
SlogP_VSA6,0.028536362449823792
TPSA,-0.011915012061225987
EState_VSA1,0.00465165092431718
EState_VSA10,-0.00295600704683795
EState_VSA2,0.031920301516548615
EState_VSA3,-0.03265699681417492
EState_VSA4,0.00240738539000886
EState_VSA5,-0.05874790194885409
EState_VSA6,0.011043920300610322
EState_VSA7,0.020944344657436862
EState_VSA8,-0.028355802985365896
EState_VSA9,-0.037552544888852415
VSA_EState10,-0.05436261960958628
VSA_EState9,-0.015052386502883854
FractionCSP3,0.0226237840758547
HeavyAtomCount,-0.032114439658470044
NHOHCount,0.030992855573631024
NOCount,-0.010626181492237423
NumAliphaticRings,0.036556689870946506
NumAromaticCarbocycles,-0.051457251712198844
NumAromaticRings,-0.041929238961484046
NumHAcceptors,-0.0002383014887398019
NumHDonors,0.040636922421347824
NumHeteroatoms,-0.03134481232133031
NumRotatableBonds,-0.03450022339931974
RingCount,-0.0006796341890019579
MolLogP,-0.13370908075294483
MolMR,-0.04412727705484296
fr_C_O,0.016487345342903616
fr_C_O_noCOO,-0.011590310489146828
fr_NH0,0.022009320882266904
fr_benzene,-0.051457251712198844
fr_bicyclic,-0.03274849905284303
fr_ether,-0.01694847113158992
fr_halogen,-0.023495501816691404
